problem_symbol,control_option,delta_single,delta_joint,max_beliefs,num_runs,max_steps,seed_offset,ave_cum_discounted_reward,ci_discounted_reward,ave_cum_reward,ci_reward,ave_max_num_beliefs_2,ci_max_num_beliefs_2,ave_ave_num_beliefs_2,ci_ave_num_beliefs_2,max_beliefs_reached_2,percent_reached_max_2,ave_max_num_beliefs_3,ci_max_num_beliefs_3,ave_ave_num_beliefs_3,ci_ave_num_beliefs_3,max_beliefs_reached_3,percent_reached_max_3,ave_max_num_beliefs_4,ci_max_num_beliefs_4,ave_ave_num_beliefs_4,ci_ave_num_beliefs_4,max_beliefs_reached_4,percent_reached_max_4
broadcast,mpomdp,1.0e-5,1.0e-5,200,2000,50,0,9.388219329098936,0.024827916282838113,47.4165,0.08127204608558505,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
broadcast,pomdp_1,1.0e-5,1.0e-5,200,2000,50,0,9.388219329098936,0.024827916282838113,47.4165,0.08127204608558505,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
broadcast,conflate_joint,1.0e-5,1.0e-5,200,2000,50,0,9.388219329098936,0.024827916282838113,47.4165,0.08127204608558505,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
broadcast,conflate_alpha,1.0e-5,1.0e-5,200,2000,50,0,9.385761022358674,0.024816589743451366,47.406,0.0811198152328499,1.966,0.007944703541176254,1.0458800000000006,0.001012859889154236,0.0,0.0,,,,,,,,,,,,
broadcast,conflate_action,1.0e-5,1.0e-5,200,2000,50,0,9.385761022358674,0.024816589743451366,47.406,0.0811198152328499,1.966,0.007944703541176254,1.0458800000000006,0.001012859889154236,0.0,0.0,,,,,,,,,,,,
broadcast_dp_wp_3,independent,1.0e-5,1.0e-5,200,2000,50,0,-0.6264193645362264,0.0886632089490142,-15.407500000000002,0.18718258724433673,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,
broadcast_dp_wp_3,mpomdp,1.0e-5,1.0e-5,200,2000,50,0,6.646604109039383,0.03525615878720228,33.55160000000001,0.114249804234562,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,
broadcast_dp_wp_3,pomdp_1,1.0e-5,1.0e-5,200,2000,50,0,5.53722131385721,0.0442980637490537,27.949000000000005,0.1428294735986387,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,
broadcast_dp_wp_3,conflate_joint,1.0e-5,1.0e-5,200,2000,50,0,6.646604109039383,0.03525615878720228,33.55160000000001,0.114249804234562,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,
broadcast_dp_wp_3,conflate_alpha,1.0e-5,1.0e-5,200,2000,50,0,6.646604109039383,0.03525615878720228,33.55160000000001,0.114249804234562,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,
broadcast_dp_wp_3,conflate_action,1.0e-5,1.0e-5,200,2000,50,0,6.646604109039383,0.03525615878720228,33.55160000000001,0.114249804234562,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,
joint_meet_2x2,independent,1.0e-5,1.0e-5,200,2000,50,0,1.7092273524079022,0.05445292358869195,10.5345,0.4527391391650007,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
joint_meet_2x2,mpomdp,1.0e-5,1.0e-5,200,2000,50,0,6.354477919961392,0.12859756589353505,38.381,0.8066742209842834,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
joint_meet_2x2,pomdp_1,1.0e-5,1.0e-5,200,2000,50,0,5.9114058216781125,0.10983837110588081,38.7935,0.744869995651194,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
joint_meet_2x2,conflate_joint,1.0e-5,1.0e-5,200,2000,50,0,6.063700753391509,0.15572535339378094,35.6945,0.9155763809264932,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
joint_meet_2x2,conflate_alpha,1.0e-5,1.0e-5,200,2000,50,0,6.063700753391509,0.15572535339378094,35.6945,0.9155763809264932,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
joint_meet_2x2,conflate_action,1.0e-5,1.0e-5,200,2000,50,0,6.063700753391509,0.15572535339378094,35.6945,0.9155763809264932,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
joint_meet_2x2_13,independent,1.0e-5,1.0e-5,200,2000,50,0,2.302635413155647,0.09178159870372338,12.2785,0.6485000124620522,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
